date,vwretd,ewretd
1995-01-31,0.020353,0.027865
1995-02-28,0.039647,0.028368
1995-03-31,0.027064,0.019515
1995-04-28,0.025048,0.026975
1995-05-31,0.033909,0.020271
1995-06-30,0.031142,0.049907
1995-07-31,0.040801,0.054701
1995-08-31,0.0093,0.032033
1995-09-29,0.036354,0.026404
1995-10-31,-0.011339,-0.041472
1995-11-30,0.042771,0.016652
1995-12-29,0.015192,0.008913
1996-01-31,0.028121,0.034647
1996-02-29,0.016353,0.032308
1996-03-29,0.010914,0.024088
1996-04-30,0.02556,0.058054
1996-05-31,0.02681,0.062644
1996-06-28,-0.00829,-0.032182
1996-07-31,-0.053852,-0.079605
1996-08-30,0.032445,0.045568
1996-09-30,0.052985,0.028749
1996-10-31,0.013671,-0.020881
1996-11-29,0.065593,0.024692
1996-12-31,-0.01138,-0.002619
1997-01-31,0.053473,0.063834
1997-02-28,-0.001067,-0.0103
1997-03-31,-0.044889,-0.049226
1997-04-30,0.042396,-0.021596
1997-05-30,0.07164,0.085195
1997-06-30,0.044081,0.043145
1997-07-31,0.076513,0.048824
1997-08-29,-0.036323,0.027608
1997-09-30,0.058453,0.081744
1997-10-31,-0.034433,-0.026151
1997-11-28,0.030354,-0.022064
1997-12-31,0.017822,-0.023876
1998-01-30,0.004511,0.015367
1998-02-27,0.073321,0.06046
1998-03-31,0.051273,0.046884
1998-04-30,0.010924,0.023244
1998-05-29,-0.025746,-0.042571
1998-06-30,0.031839,-0.02915
1998-07-31,-0.023377,-0.050547
1998-08-31,-0.15786,-0.196405
1998-09-30,0.063814,0.043246
1998-10-30,0.074406,0.037821
1998-11-30,0.062001,0.075913
1998-12-31,0.063058,0.018853
1999-01-29,0.038447,0.064862
1999-02-26,-0.038083,-0.042172
1999-03-31,0.037926,-0.00137
1999-04-30,0.049092,0.083902
1999-05-28,-0.020708,0.025137
1999-06-30,0.050824,0.038402
1999-07-30,-0.030834,0.007275
1999-08-31,-0.009918,-0.030613
1999-09-30,-0.022669,-0.01423
1999-10-29,0.062107,-0.001401
1999-11-30,0.036822,0.091441
1999-12-31,0.083745,0.084839
2000-01-31,-0.039622,0.050642
2000-02-29,0.03176,0.120494
